"ID","NAME","COUNTRY","SUBREGION","LOCATION","YEAR","ADJ_TOTAL_DAMAGE"
"2007-0360-JAM","Dean","Jamaica","Latin America and the Caribbean","Clarendon, Saint Thomas, Saint James, Saint Andrew And Kingston provinces",2007,440.867
"2007-0360-LCA","Dean","Saint Lucia","Latin America and the Caribbean","Region Number 1, Region Number 2, Region Number 8 provinces",2007,58.782
"2007-0360-MEX","Dean","Mexico","Latin America and the Caribbean","Yucatan, Quintana Roo, Campeche, Veracruz, Hidalgo, Puebla provinces",2007,881.735
"2007-0360-MTQ","Dean","Martinique","Latin America and the Caribbean","Fort-de-France, La Trinite, Saint-Pierre, Le Marin provinces",2007,440.867
"2007-0439-GTM","Felix","Guatemala","Latin America and the Caribbean","Puerto Barrios, Morales districts (Izabal province)",2007,NA
"2007-0439-HND","Felix","Honduras","Latin America and the Caribbean","Santa Barbara, Cortes, Choluteca, Valle, Paraiso provinces",2007,9.668
"2007-0439-MEX","Felix","Mexico","Latin America and the Caribbean","Veracruz, Tamaulipas, San Luis Potosi provinces",2007,NA
"2007-0439-NIC","Felix","Nicaragua","Latin America and the Caribbean","Puerto Cabezas, Waspam, Siuna, Bonanza, Rosita districts (Atlantico Norte province)",2007,NA
"2007-0439-SLV","Felix","El Salvador","Latin America and the Caribbean","Ahuachapan, Cabanas, Chalatenango, Cuscatlan, La Libertad, La Paz, La Union, Morazan, San Miguel, San Salvador, San Vicente, Santa Ana, Sonsonate, Usulutan provinces",2007,NA
"2007-0464-MEX","Lorenzo","Mexico","Latin America and the Caribbean","Veracruz, Puebla provinces",2007,NA
"2007-0523-BHS","Noel","Bahamas","Latin America and the Caribbean","Abaco, Long Island, Exuma, Cat Island, Andros, New Providence islands (Administrative unit not available)",2007,NA
"2007-0523-CUB","Noel","Cuba","Latin America and the Caribbean","Granma, Holguin, Las Tunas, Guantanamo, Santiago de Cuba provinces",2007,734.779
"2007-0523-DOM","Noel","Dominican Republic","Latin America and the Caribbean","Santo Domingo, Distrito Nacional, San Cristobal, Peravia, Azua, Barahona, Pedernales, Independencia, Baoruco, San Juan, Santiago, Puerto Plata, Espaillat, Salcedo, Duarte, La Vega, Monte Plata, Monsenor Nouel, Hato Mayor, El Seibo, Dajabon, Monte Cristi, Santiago Rodriguez, La Altagracia, San Pedro de Macoris provinces",2007,114.185
"2007-0523-HTI","Noel","Haiti","Latin America and the Caribbean","Port-au-Prince district (Ouest province), Gonaïves district (Artibonite province), Jacmel district (Sud Est province), Cayes district (Sud province)",2007,NA
"2007-0523-JAM","Noel","Jamaica","Latin America and the Caribbean","Saint Catherine, Clarendon, Manchester provinces",2007,NA
"2007-0612-DOM","Olga","Dominican Republic","Latin America and the Caribbean","Bonao city (Monsenor Nouel district, Monsenor Nouel province), Nagua district (Maria Trinidad Sanches province), Arenoso, Villa Rivas districts (Duarte province), Santiago, Barahona, La Vega, Puerto Plata, Monte Plata, El Seibo provinces",2007,66.13
"2007-0612-HTI","Olga","Haiti","Latin America and the Caribbean","Nord, Nord Est, Nord Ouest provinces",2007,NA
"2007-0612-PRI","Olga","Puerto Rico","Latin America and the Caribbean","San Juan province",2007,NA
"2007-0671-MEX","Henriette","Mexico","Latin America and the Caribbean","Acapulco De Juarez district (Guerrero province), Oaxaca, Michoacan, Colima, Jalisco provinces",2007,NA
"2008-0233-BLZ","Tropical cyclone 'Arthur'","Belize","Latin America and the Caribbean","Corozal, Orange Walk, Stann Creek provinces",2008,NA
"2008-0234-CRI","Alma","Costa Rica","Latin America and the Caribbean","Parrita, Aguirre, Puntarenas districts (Puntarenas province), Canas, Bagaces, Abangares, Nandayure, Hojancha, Nicoya, Santa Cruz districts (Guanacaste province), Perez Zeledon, Tarrazu, Leon Cortes (San Jose province)",2008,NA
"2008-0234-HND","Alma","Honduras","Latin America and the Caribbean","Choluteca province",2008,NA
"2008-0234-NIC","Alma","Nicaragua","Latin America and the Caribbean","Leon, Chinandega, Rivas, Carazo, Masaya, Granada provinces",2008,NA
"2008-0304-GTM","Hurricane Dolly","Guatemala","Latin America and the Caribbean","La Union district (Zacapa province), San Pedro Soloma area (Soloma district, Huehuetenango province)",2008,NA
"2008-0304-MEX","Hurricane Dolly","Mexico","Latin America and the Caribbean","Tamaulipas, Veracruz, Yucatan, San Luis Potosi, Nuevo Leon, Coahuila provinces",2008,106.142
"2008-0304-USA","Hurricane Dolly","United States of America","Northern America","Panama city beach (Bay district, Florida province), Aransas, Bexar, Brooks, Calhoun, Cameron, Hidalgo, Jim Wells, Kenedy, Kleberg, Nueces, Refugio, San Patricio, Starr, Victoria, Willacy districts (Texas province)",2008,1698.271
"2008-0338-CUB","Tropical Storm ""Fay""","Cuba","Latin America and the Caribbean","Cienfuegos, Sancti Spiritus, Guantanamo, Santiago de Cuba, Granma, Villa Clara, Ciego de Avila, Camgguey, Las Tunas, Holguín provinces",2008,NA
"2008-0338-DOM","Tropical Storm ""Fay""","Dominican Republic","Latin America and the Caribbean","Azua, Baoruco, Barahona, Dajabon, Distrito Nacional, Duarte, El Seibo, Elias Pina, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanches, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, San Cristobal, San José de Ocoa, San Juan, San Pedro de Macoris, Sanchez Ramirez, Santiago, Santiago Rodriguez, Santo Domingo, Valverde provinces",2008,NA
"2008-0338-HTI","Tropical Storm ""Fay""","Haiti","Latin America and the Caribbean","Grande Anse, Centre, Sud, Nippes, Ouest, Artibonite, Nord Ouest, Nord, Nord Est, Sud Est provinces",2008,NA
